Unique ID,Street address,City,State,ZIP
511,124 COURT ST #406,New Haven,CT,NA
512,124 COURT ST #407,New Haven,CT,NA
513,124 COURT ST #501,New Haven,CT,NA
514,124 COURT ST #502,New Haven,CT,NA
515,124 COURT ST #503,New Haven,CT,NA
516,124 COURT ST #504,New Haven,CT,NA
517,65 CANNER ST,New Haven,CT,NA
518,124 COURT ST #505,New Haven,CT,NA
519,124 COURT ST #506,New Haven,CT,NA
520,124 COURT ST #507,New Haven,CT,NA
521,124 COURT ST #601,New Haven,CT,NA
522,124 COURT ST #602,New Haven,CT,NA
523,124 COURT ST #603,New Haven,CT,NA
524,124 COURT ST #604,New Haven,CT,NA
525,124 COURT ST #605,New Haven,CT,NA
526,124 COURT ST #606,New Haven,CT,NA
527,124 COURT ST #607,New Haven,CT,NA
528,69 CANNER ST,New Haven,CT,NA
529,124 COURT ST #701,New Haven,CT,NA
530,124 COURT ST #702,New Haven,CT,NA
531,124 COURT ST #703,New Haven,CT,NA
532,124 COURT ST #704,New Haven,CT,NA
533,124 COURT ST #705,New Haven,CT,NA
534,124 COURT ST #706,New Haven,CT,NA
535,124 COURT ST #707,New Haven,CT,NA
536,124 COURT ST #801,New Haven,CT,NA
537,124 COURT ST #802,New Haven,CT,NA
538,124 COURT ST #803,New Haven,CT,NA
539,71 CANNER ST,New Haven,CT,NA
540,124 COURT ST #804,New Haven,CT,NA
541,124 COURT ST #805,New Haven,CT,NA
542,124 COURT ST #806,New Haven,CT,NA
543,124 COURT ST #807,New Haven,CT,NA
544,124 COURT ST #901,New Haven,CT,NA
545,124 COURT ST #902,New Haven,CT,NA
546,124 COURT ST #903,New Haven,CT,NA
547,124 COURT ST #904,New Haven,CT,NA
548,124 COURT ST #905,New Haven,CT,NA
549,124 COURT ST #906,New Haven,CT,NA
550,835 ORANGE ST,New Haven,CT,NA
551,124 COURT ST #907,New Haven,CT,NA
552,124 COURT ST #1001,New Haven,CT,NA
553,124 COURT ST #1002,New Haven,CT,NA
554,124 COURT ST #1003,New Haven,CT,NA
555,124 COURT ST #1004,New Haven,CT,NA
556,124 COURT ST #1005,New Haven,CT,NA
557,124 COURT ST #1006,New Haven,CT,NA
558,124 COURT ST #1007,New Haven,CT,NA
559,124 COURT ST #1101,New Haven,CT,NA
560,124 COURT ST #1102,New Haven,CT,NA
561,841 ORANGE ST,New Haven,CT,NA
562,124 COURT ST #1103,New Haven,CT,NA
563,124 COURT ST #1104,New Haven,CT,NA
564,124 COURT ST #1105,New Haven,CT,NA
565,124 COURT ST #1106,New Haven,CT,NA
566,124 COURT ST #1107,New Haven,CT,NA
567,124 COURT ST #1201,New Haven,CT,NA
568,124 COURT ST #1202,New Haven,CT,NA
569,124 COURT ST #1203,New Haven,CT,NA
570,124 COURT ST #1204,New Haven,CT,NA
571,124 COURT ST #1205,New Haven,CT,NA
572,845 ORANGE ST,New Haven,CT,NA
573,124 COURT ST #1206,New Haven,CT,NA
