"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"77","223 0382 00171","PABX","00055 WHITNEY AV 4","YALE UNIVERSITY",NA,"6170/170",0,0,2138080,2138080,2138080,77,"00055 WHITNEY AV 4, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"78","223 0382 00172","PABX","00055 WHITNEY AV 5","YALE UNIVERSITY",NA,"6170/170",0,0,2429210,2429210,2429210,78,"00055 WHITNEY AV 5, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"79","223 0382 00173","PABX","00055 WHITNEY AV 6","YALE UNIVERSITY",NA,"6170/170",0,0,2431870,2431870,2431870,79,"00055 WHITNEY AV 6, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"80","223 0382 00174","PABX","00055 WHITNEY AV 7","YALE UNIVERSITY",NA,"6171/170",0,0,1572620,1572620,1572620,80,"00055 WHITNEY AV 7, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"81","223 0334 01603","PABX","00058 WHITNEY AV","YALE UNIVERSITY",NA,"3408/20",0.11,194390,415660,610050,610050,81,"00058 WHITNEY AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"82","281 0329 00203","PABX","00060 ASHMUN ST","YALE UNIVERSITY",NA,"0/0",0.09,108080,5320,113400,113400,82,"00060 ASHMUN ST, New Haven, CT","Match","Exact","60 ASHMUN ST, NEW HAVEN, CT, 06511","-72.9287,41.31454",3701098,"L",9,9,361402,1007,"09009361402"
"83","261 0252 00200","PABX","00061 HIGH ST","YALE UNIVERSITY",NA,"5150/1",2.93,2301740,20275780,22577520,22577520,83,"00061 HIGH ST, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"84","281 0329 00202","PABX","00064 ASHMUN ST","YALE UNIVERSITY",NA,"0/0",0.09,108080,5460,113540,113540,84,"00064 ASHMUN ST, New Haven, CT","Match","Exact","64 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92872,41.314606",3701098,"L",9,9,361402,1007,"09009361402"
"85","377 1079 00200","PABX","00067 CENTRAL AV","YALE UNIVERSITY",NA,"0/0",4.02,722540,4758530,5481070,5481070,85,"00067 CENTRAL AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"86","281 0329 00201","PABX","00068 ASHMUN ST","YALE UNIVERSITY",NA,"0/0",0.11,132090,6720,138810,138810,86,"00068 ASHMUN ST, New Haven, CT","Match","Exact","68 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92874,41.314667",3701098,"L",9,9,361402,1007,"09009361402"
"87","258 0359 01000","PABX","00068 MANSFIELD ST","YALE UNIVERSITY",NA,"0/0",0.32,81200,256760,337960,337960,87,"00068 MANSFIELD ST, New Haven, CT","Match","Exact","68 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.92577,41.31701",637983857,"L",9,9,141600,1004,"09009141600"
"88","223 0334 01602","PABX","00068 WHITNEY AV","YALE UNIVERSITY",NA,"3408/20",0.04,106890,106260,213150,213150,88,"00068 WHITNEY AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"89","296 0328 02400","PABX","00069 GOFFE ST","YALE UNIVERSITY",NA,"6134/167",0.57,76020,162470,238490,238490,89,"00069 GOFFE ST, New Haven, CT","Match","Exact","69 GOFFE ST, NEW HAVEN, CT, 06511","-72.93377,41.314514",3700394,"R",9,9,141600,3010,"09009141600"
