Unique ID,Street address,City,State,ZIP
10352,36 ELLIOTT ST,New Haven,CT,
10353,30 ELLIOTT ST,New Haven,CT,
10354,26 ELLIOTT ST,New Haven,CT,
10355,22 ELLIOTT ST,New Haven,CT,
10356,20 ELLIOTT ST,New Haven,CT,
10357,18 ELLIOTT ST,New Haven,CT,
10358,14 ELLIOTT ST,New Haven,CT,
10359,12 ELLIOTT ST,New Haven,CT,
10360,197 DAVENPORT AV,New Haven,CT,
10361,199 DAVENPORT AV,New Haven,CT,
10362,51 KNEELAND RD,New Haven,CT,
10363,205 DAVENPORT AV,New Haven,CT,
10364,209 DAVENPORT AV,New Haven,CT,
10365,213 DAVENPORT AV,New Haven,CT,
10366,15 ORCHARD ST,New Haven,CT,
10367,21 ORCHARD ST,New Haven,CT,
10368,23 ORCHARD ST,New Haven,CT,
10369,29 ORCHARD ST,New Haven,CT,
10370,35 ORCHARD ST,New Haven,CT,
10371,37 ORCHARD ST,New Haven,CT,
10372,41 ORCHARD ST,New Haven,CT,
10373,47 KNEELAND RD,New Haven,CT,
10374,45 ORCHARD ST,New Haven,CT,
10375,49 ORCHARD ST,New Haven,CT,
10376,53 ORCHARD ST,New Haven,CT,
10377,57 ORCHARD ST,New Haven,CT,
10378,61 ORCHARD ST,New Haven,CT,
10379,65 ORCHARD ST,New Haven,CT,
10380,69 ORCHARD ST,New Haven,CT,
10381,73 ORCHARD ST,New Haven,CT,
10382,77 ORCHARD ST,New Haven,CT,
10383,59 HERVEY ST,New Haven,CT,
10384,81 ORCHARD ST,New Haven,CT,
10385,87 ORCHARD ST,New Haven,CT,
10386,92 SYLVAN AV,New Haven,CT,
10387,90 SYLVAN AV,New Haven,CT,
10388,86 SYLVAN AV,New Haven,CT,
10389,84 SYLVAN AV,New Haven,CT,
10390,80 SYLVAN AV,New Haven,CT,
10391,58 SYLVAN AV,New Haven,CT,
10392,92 ASYLUM ST,New Haven,CT,
10393,90 ASYLUM ST,New Haven,CT,
10394,65 HERVEY ST,New Haven,CT,
10395,88 ASYLUM ST,New Haven,CT,
10396,84 ASYLUM ST,New Haven,CT,
10397,82 ASYLUM ST,New Haven,CT,
10398,80 ASYLUM ST,New Haven,CT,
10399,78 ASYLUM ST,New Haven,CT,
10400,74 ASYLUM ST,New Haven,CT,
10401,72 ASYLUM ST,New Haven,CT,
10402,68 ASYLUM ST,New Haven,CT,
10403,64 ASYLUM ST,New Haven,CT,
10404,62 ASYLUM ST,New Haven,CT,
10405,71 HERVEY ST,New Haven,CT,
10406,60 ASYLUM ST,New Haven,CT,
10407,58 ASYLUM ST,New Haven,CT,
10408,56 ASYLUM ST,New Haven,CT,
10409,54 ASYLUM ST,New Haven,CT,
10410,52 ASYLUM ST,New Haven,CT,
10411,50 ASYLUM ST,New Haven,CT,
10412,173 DAVENPORT AV,New Haven,CT,
10413,177 DAVENPORT AV,New Haven,CT,
10414,181 DAVENPORT AV,New Haven,CT,
10415,185 DAVENPORT AV,New Haven,CT,
10416,630 TOWNSEND AV,New Haven,CT,
10417,187 DAVENPORT AV,New Haven,CT,
10418,189 DAVENPORT AV,New Haven,CT,
10419,191 DAVENPORT AV,New Haven,CT,
10420,15 ELLIOTT ST,New Haven,CT,
10421,17 ELLIOTT ST,New Haven,CT,
10422,19 ELLIOTT ST,New Haven,CT,
10423,21 ELLIOTT ST,New Haven,CT,
10424,23 ELLIOTT ST,New Haven,CT,
10425,27 ELLIOTT ST,New Haven,CT,
10426,29 ELLIOTT ST,New Haven,CT,
10427,675 TOWNSEND AV #177,New Haven,CT,
10428,620 TOWNSEND AV,New Haven,CT,
10429,31 ELLIOTT ST,New Haven,CT,
10430,33 ELLIOTT ST,New Haven,CT,
10431,35 ELLIOTT ST,New Haven,CT,
10432,39 ELLIOTT ST,New Haven,CT,
10433,43 ELLIOTT ST,New Haven,CT,
10434,45 ELLIOTT ST,New Haven,CT,
10435,47 ELLIOTT ST,New Haven,CT,
10436,ELLIOTT ST,New Haven,CT,
10437,55 ELLIOTT ST,New Haven,CT,
10438,610 TOWNSEND AV,New Haven,CT,
